"","X1_050_06.y","X1_090_07.y","X1_120_01.y","X1_200_02.y","X1_300_04.y","X1_400_05.y","X1_600_03.y","X3_040_07.y","X3_060_01.y","X3_080_02.y","X3_120_06.y","X3_150_07.y","X3_200_01.y","X3_250_02.y","X3_300_01.y","X3_400_02.y","X3_500_04.y","X3_550_05.y","X3_600_03.y","X3_800_03.y","X5_020_06.y","X5_050_07.y","X5_080_01.y","X5_120_02.y","X5_200_04.y","X5_300_05.y","X5_400_03.y","X5_500_05.y","X5_600_03.y","X6_040_06.y","X6_080_07.y","X6_200_01.y","X8_040_06.y","X8_070_07.y","X8_200_01.y","X9_040_06.y","X9_070_07.y","X9_380_01.y","X12_040_06.y","X12_120_07.y","X12_300_01.y","X12_1900_03.y"
"K04986",16.963124599,32.168921154,49.8427308,79.843798656,34.182780924,67.293205398,8.291533861,48.288275941,28.474212194,51.821064939,40.862968913,26.619956332,11.731260711,22.324773746,20.445326859,15.175161648,16.107237879,0,16.815148,18.640729969,43.933670526,35.281552917,48.777253707,28.952881466,29.490923751,20.718886911,13.793313341,9.979548065,12.878963936,31.979189398,48.362928259,87.753004636,47.184192584,48.243888937,42.658096349,49.956759523,24.336566825,19.676362226,33.973801552,26.621848475,18.758650323,0
"K04990",7.764101522,10.106274166,18.597234531,13.55542,0,2.58018,0,20.6499007,9.071723305,28.020169513,29.953478887,6.758878212,2.307592321,0,2.339408558,0,0,0,0,0,29.968792078,20.551778331,49.719599316,23.162709574,1.0099685,3.148617,2.823474415,1.742246,2.43853579,45.28060164,23.343243796,4.954619513,39.035189692,30.913549973,1.320283,31.923287489,1.950039618,1.66713429,4.239351072,16.085216616,0.4769389,4.471454696
"K05011",0,0,0,0,0,0,0,0,0.3230934,2.384369,2.738775,0,0,0,2.167882,0,0,0,0,0,2.461247,2.422168,0,0.8703721,0,0,0,0,0,0.966102,0,0,0.701695,1.242058,0,1.98987,0,0,5.134651,1.307456,1.045118,0
"K05015",0,0,0,0,0,0,1.666616,0,0,0,0,0,0,3.722618,9.23357,1.126183,0,0,82.11646,26.07479,0,0,0,1.140659,0,0,0,4.169477,13.5395,0,0,0,0,0,0,0,1.142556,1.552486,0,0,12.32704,0
"K05016",0.6745169,0.3696387,7.722174,0,0,0,0,5.086729,1.8790656,8.377936,18.209511,62.8406829,1.061906,1.439823,8.006061,16.3654152,10.0630102,0,5.833607,0,24.103218,17.3841114,20.076255,17.580188,2.4026998,9.064447,11.78599,0.5068352,6.732983,20.4570246,33.605695,55.004537,19.348235,19.670032,25.037148,11.384957,28.764728,34.877814,0,13.694343,3.973177,0
"K05122",16.042166,11.849153,8.049269,0,12.424432,4.789727,0,7.948872,13.070452,8.736328,3.866902,1.260224,12.927191,0,2.2843176,0,9.180965,2.342633,0,37.11393,1.668028,6.545933,7.591205,21.705836,3.459561,3.747171,6.257008,9.150344,6.830368,2.1690233,7.399978,1.051887,0.5944378,17.432955,4.4631217,0.8428548,0.7385581,1.003541,17.265119,16.135634,13.236848,0
"K05181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6293423,1.532132556,1.079399482,0,0,53.21075768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579157553,0,0,0,0,0,0,0
"K05218",10.73626,0,2.30708,5.36469,1.714875,1.464427,0,10.50151,8.1839608,14.173373,12.3573157,19.5646479,2.893934,0,0.8809413,0.8902932,2.2384832,0.9629064,0,0,32.139538,15.825848,4.9252948,8.529383,5.7578522,4.806381,11.3658116,7.703912,0.7645373,14.103206,15.9809,20.967717,5.2572783,11.8021804,16.0577929,16.807047,2.1461413,4.603251,1.17979,5.1137308,2.2401691,0
"K05236",8.397713182,16.921180558,30.740710345,36.319316951,16.271675035,21.862257033,13.256893782,24.403768434,28.659749691,12.439103108,43.785589688,11.694905773,12.050157934,13.319638718,30.876994481,38.882342668,29.586069384,11.876655988,116.9564,14.562114877,22.74916478,13.385900048,27.148471507,29.239556848,29.6546936,21.200204029,23.30772512,49.027512775,41.109106997,11.7505,19.596439797,4.342986338,21.579207361,22.342843619,20.97482244,18.912328097,19.025176213,16.92527159,26.768280657,21.888870985,48.038965916,236.5587
"K05298",140.69131584,245.26062101,155.50487589,11.0015,25.521053,18.84653,22.312065,226.95824733,267.71103513,120.80846925,49.93274954,59.234603,114.217719474,31.926235567,10.441323,12.21251,11.066493911,7.413823,0,0,120.85811392,169.85150012,128.48553486,89.311453,17.39123882,35.191141,6.145589,2.120995,5.101486,144.29302653,163.98647242,29.06440342,175.11014894,158.817368829,114.713604112,133.896440033,57.096780108,64.704175752,200.24871508,126.88853475,31.77893112,16.18075
"K05303",0.7637912,0,0,0,2.195971,0,6.617448,6.923238,0,0,0.9501031,0,3.633786,7.883192,5.640416,0,1.89017,0,0,0,0,1.008323,0,0,10.62523,0.5128968,7.724873,6.622111,4.607981,0.670297,1.961876,5.815128,0.7302708,2.585279,3.010962,0,1.360986,0,0,1.814268,0,0
"K05309",0,0,0,0,0,2.467572812,0,0,0,2.774976649,0,2.596969749,0,3.30585464,0.946134315,0,0,0,0,0,0.859334963,0,0,0,2.67344603,3.441372302,1.295785072,0,0,1.124369159,0,0,0,0.722766293,0,0,14.45864168,12.40810497,2.24092937,6.847397079,7.297980098,0
"K05315",15.076476697,38.387265599,32.820880104,28.162453866,69.15521946,45.29493468,56.49314267,34.051212883,78.748231198,80.10207347,28.812901227,64.418562383,14.234698029,16.533381468,9.825680012,5.009693232,5.940016697,37.161001656,0,22.72688511,58.215984516,56.479561239,37.963913011,76.415711128,21.68051366,42.062416781,9.830655227,8.478847876,6.355102395,63.935398854,76.057970123,56.66081167,80.929575625,79.721664696,80.036893752,58.439548418,47.852827494,42.405425691,32.68631828,20.534377288,3.39545908,0
"K05321",0.6758673,5.926059,1.387019,0,0,0,0,1.021045,2.082804,0,2.942561,1.369973,0,0,0,0,0,0,2.355243,0,10.42643,6.691876,4.887316,0.8015439,0.9402109,0,1.367125,0.5859806,0,5.634789,6.076121,0,5.492748,3.050233,3.108414,15.11823,0,0,0,2.006772,0,0
"K05322",0,1.546534,6.756828,1.586423,0.949725,1.272418,0,2.131711,4.659027,4.584366,13.958337,2.814717,0.6286237,0,8.360225,15.5237828,20.16428,19.24305,0,8.955235,4.732179,13.97113,19.22988,12.0792452,1.378577,1.330922,5.34543,5.155138,1.992884,4.024584,3.322411,2.387356,23.6098,15.52248,1.302197,22.95524,1.676226,2.847036,1.234033,5.865563,0,0
"K05326",0,0,0,0,17.84226,0,0,0,0,0,0,0,3.542942,3.202547,5.499406,4.359818,4.095369,15.71803,28.11355,81.71652,0,0,0,0,1.726601,10.83495,5.021167,3.228279,17.47193,0,0,1.049954,0,0,4.892814,0,8.846406,3.005088,2.1709,0,10.60488,0
"K05340",2.684657793,3.172888249,5.166629506,0,12.67127,0,32.42395135,0,1.18189236,0,5.482318,1.786688,11.341783391,45.15327165,24.97347342,4.128357,18.27761892,0,2.3388549,18.853645335,0,0,3.733314151,6.070543647,6.828214159,11.609851211,14.345313181,6.982838193,21.775249865,0,0,2.626854447,0,0,0,0,6.378323043,1.083345149,2.715662221,5.829616234,16.49022479,0
"K05349",18.735041376,18.09945822,9.701825049,6.916204048,35.95907742,42.334628,6.43722,18.7410464,10.02330252,8.773918344,30.076526651,50.837929251,38.660859574,76.475663563,75.445912226,67.404642853,39.174925339,52.77609703,55.670753657,54.733490385,8.1436174,8.096023152,3.9102168,5.572963589,36.188768795,77.417019848,25.485522874,54.570417132,60.23016412,6.55621151,5.063905536,6.9133847,4.2852925,6.448120442,8.80294038,7.699897663,84.189098431,88.493840971,17.325010989,5.4160401,46.375091217,60.53294
"K05350",16.575402,10.409403,4.776671,6.727654,6.962851,0,4.93656,8.607795,13.5265743,12.650929,0.8570318,5.586135,1.311129,0,10.51926,13.34313,0,41.88053,4.963899,0,4.621118,2.2261778,1.532945,7.408067,6.143788,0,1.008684,2.389366,0,7.9381627,0.4269568,0,4.4045711,8.4119645,2.46594,12.2626168,0,9.197006,28.654061,28.3991177,22.595598,8.486639
"K05360",0,2.126485,0,0,0,0,0,1.465551,3.843697,0,6.033701,0.9831919,0,0,0,0,0.8002444,9.828286,0,0,6.506746,1.280687,0,3.451476,0,0,0,0,0,4.682448,0.8306028,0,2.31882,0,0,0,0,0.7829348,0,4.608657,0,0
"K05366",9.454256,0.8634967,0,0,0,0,0,5.95113,1.734224,0,0,0,0,0,0,0,0,0,1.372747,1.525629,2.113743,0,0,0.9343551,0.5479992,0,0,0,0,0,0.6745619,0,0.7532782,0.8889098,0,2.13615,0,0,3.445069,0.4678566,0,0
