,X1_050_06,X1_090_07,X1_120_01,X1_200_02,X1_300_04,X1_400_05,X1_600_03,X3_040_07,X3_060_01,X3_080_02,X3_120_06,X3_150_07,X3_200_01,X3_250_02,X3_300_01,X3_400_02,X3_500_04,X3_550_05,X3_600_03,X3_800_03,X5_020_06,X5_050_07,X5_080_01,X5_120_02,X5_200_04,X5_300_05,X5_400_03,X5_500_05,X5_600_03,X6_040_06,X6_080_07,X6_200_01,X8_040_06,X8_070_07,X8_200_01,X9_040_06,X9_070_07,X9_380_01,X12_040_06,X12_120_07,X12_300_01,X12_1900_03
K12856,286.8368516,226.2550499,222.0670818,230.9903271,346.5924923,515.137704,157.8713533,188.1786169,214.4647746,245.4017456,205.3212303,202.4342528,278.6359393,372.8294665,353.3929729,386.4529561,321.697765,506.4669702,293.690178,440.2593579,191.0590863,194.505418,164.0991697,187.7276886,288.2715715,299.7019407,301.717497,378.6756058,329.9372941,223.3878808,165.9118555,243.1414092,196.744641,167.7867068,312.5118362,287.4572695,191.6201644,192.6231761,331.0265687,210.0431665,449.9428806,39.06452334
K12857,3.870771531,19.32839354,1.99528747,0,25.6208887,0,17.61955748,4.852858345,16.32948315,0.557243559,10.9076982,2.410829644,26.96034434,11.13704332,1.323804965,3.12449288,15.03190226,1.965920482,4.263528398,0,7.045278796,7.159341185,7.540942298,17.98997859,4.481812333,0,6.428842544,2.836882832,5.540600597,20.13460715,10.65195247,25.72454847,20.79205115,7.888219102,1.028735303,14.60252803,13.70070766,12.21512891,4.533243515,6.540734656,1.300043482,0
K12858,0,0,0,0,7.292404256,0,0,0.946406013,0.546713742,0,3.131078177,1.339344688,3.675781851,1.621868668,0,5.782303945,5.224502615,0,14.15630079,0,0,0,0,2.305339133,5.242758901,1.701166595,0,9.769766016,0,0,0,0,0,0,0,0,0.774577573,1.052151945,0,0.746156587,8.133198855,0
K12859,26.26069519,21.261688,14.17476297,36.3211695,31.99150182,70.8980206,55.81235482,35.56590504,46.01693745,14.85747885,14.45481101,28.79472904,9.4567879,44.08423646,18.22370861,36.3105692,40.64819415,65.40145194,42.30747727,6.306757544,34.72789698,33.57205178,39.93100154,32.51374857,24.06109865,30.52464687,27.21018831,27.60274187,58.54141268,38.66476671,36.06955668,56.23198236,18.09283686,44.76252986,47.61367731,28.23546462,18.20783158,30.92950591,32.46717427,63.12841712,81.53098947,32.29832862
K12860,8.112236467,13.02154037,5.954684819,0,17.13913606,6.677223267,4.173671641,14.64295851,13.81369496,19.17260668,9.424619608,18.8202748,15.89347667,19.03483796,6.638291183,18.19478666,16.607037,20.2355333,6.307510011,0,8.181662541,8.026658792,24.92461569,20.69979174,15.98434508,18.46309948,6.063689975,12.59703394,15.98493425,14.08763163,13.06421154,5.235912128,9.797795119,9.445490957,35.49367785,19.41700849,19.04786162,20.50539961,17.6694754,14.66924444,11.1177053,0
K12861,0,0,0,0,1.143116895,12.61469089,0,0.593413456,0.34279927,0,2.454052352,0,1.536520536,1.016940592,1.730956534,6.344813547,0,0,0,4.709974411,0,0.533769603,0,0.963659179,0,1.066661807,7.200197891,0,11.21457731,1.086240981,0,0,0.389475156,0,0.55238803,0.558356695,1.457021874,0,0,0.935706986,0.566628977,0
K12862,0,0,0,0,8.461940788,3.890851987,0,0,0,0,0,11.39706518,3.791372475,0,0.711857387,0,0,0,0,1.936981091,0,0,0,0,0,0,0,0,3.953146897,0,0,0,0,0,0,0,6.591216702,11.39500408,0,0,19.57423959,0
K12863,2.105887396,0,0,0,26.23041479,21.97819418,60.86696004,0,2.808408872,0,0,0,4.196020117,25.36680631,4.72699731,0,7.156720056,0,2.291085523,17.14969801,0,0,0,1.315808415,5.984773502,16.02096336,5.608475062,9.543208614,2.187530244,0,0,0,0,0,3.016987061,0,6.769400312,1.021694915,1.053119373,0,0,273.940824
K12865,0,0,1.743698006,0,0,0,0,0,2.616768763,1.918690891,12.00087684,1.872038598,14.74786212,2.114733352,0,3.013658412,6.812160654,1.75488947,27.05293076,0,7.381732224,0,11.49636845,8.010076648,5.01110978,8.504322653,1.663649964,1.415407797,1.331674485,12.18549302,5.22266715,48.50181757,10.67033711,0,12.3506343,4.272781038,11.36780608,15.97936754,0,1.299235098,0.941980658,0
K12867,7.633620417,6.785732593,4.776073247,17.96188625,21.32075702,29.5374493,0,0,0.339339564,0.852034307,5.829793232,2.493952178,12.73013356,6.246560494,10.22262405,6.02155386,20.45455135,71.05669535,0,11.43692283,7.141884441,4.193123291,3.117571136,13.83494684,14.0382943,9.223218836,24.8696527,16.32254294,9.526148649,12.54454924,3.630102404,3.493588501,9.638609302,4.407666816,0.840000919,19.56444378,1.892210141,3.35383463,4.943922285,2.100846655,5.973507841,0
K12869,2.454802542,0.562144178,6.390872299,0,3.198372231,1.47063106,0,16.80911121,1.410951134,3.403366598,4.876373524,3.456561931,0,2.845338535,5.287832405,0,3.055216268,5.907108135,4.13920364,7.321235977,0.72742714,2.110571633,6.002750347,1.084442152,5.62080253,1.49222775,1.492275562,3.436321958,3.297060811,3.061548033,8.906528216,8.558855657,12.32015028,3.987692567,0.515182814,3.034109168,0,1.845851351,2.164688166,6.573958359,3.170787509,0
K12870,14.93638738,2.993268337,3.114116231,0,11.39116231,0,0,5.052148558,7.756262562,8.424334075,5.161826368,16.29024402,4.840655585,3.878167207,8.057217105,11.66320988,9.547721461,0,0,0,8.04717414,5.559940078,18.17995694,6.161096937,10.1774693,9.82307693,10.22978482,13.63679063,18.75851359,9.01864552,3.05578791,1.737153545,9.503261691,3.449210311,17.34863398,3.95696528,0,0,1.132066086,10.24627423,1.69484703,0
K12872,1.673064456,5.552015682,0.568911607,0,49.3801542,43.70005172,0,0,0.371866121,16.80667118,0,24.80417377,41.55985035,2.708006961,4.381367399,9.431047214,13.31081732,0,3.209631332,4.180723893,8.38183788,2.895146648,1.46417067,0.522685186,6.213681074,13.54430235,1.735715907,6.914191977,8.808578121,7.855641382,1.132685244,4.786377241,2.112498887,1.957202552,2.39690585,0,0,2.63514073,3.688344346,1.01504804,12.68566691,0
K12873,2.413929435,0.445030808,6.566692491,1.893322939,0,1.645333686,0,0.619191168,1.788451867,0.89811063,1.024262276,0,0,0,0,0,1.36726345,0,0,0,1.151759638,0,3.755615077,0.50276013,0,0.556498647,0.834774716,0,1.671676481,1.133426981,2.17901328,0,1.219181538,1.41194466,0,1.747834654,0.506771497,1.376752013,0,1.952707665,0,0
K12874,5.411857745,11.87029177,34.49498171,125.4877215,15.3471197,19.82838032,1.176711682,25.32336515,20.55484776,15.12349809,50.74730045,31.08030898,22.04912452,10.86823562,13.45709744,26.72851184,7.591664844,0,68.58186608,26.94546287,15.74347443,23.67873633,36.72424342,24.42026213,28.76999196,13.13086521,10.10323096,33.66948622,29.19745281,18.09205448,36.58484612,38.72281639,36.77334768,31.022333,51.79557309,21.23387894,1.022513093,5.046396704,4.616773907,25.91248696,8.924240238,0
K12876,22.21883363,53.19492395,29.77144562,3.723684663,38.81450548,61.03999902,63.1512802,46.16512888,39.33991239,27.89805617,51.40780766,35.34524345,55.12338288,31.21765973,40.81687329,43.84114053,47.25438966,88.91479107,18.69883206,2.782951748,24.51039185,31.94914775,36.71759863,40.80240928,38.96279406,73.51792285,76.81468304,59.69323935,75.17302917,11.5212586,22.37739461,13.59954761,16.12410128,10.59417414,27.76077729,23.02332608,33.98840494,32.48829368,83.01311731,35.84601677,47.60200959,0
K12879,0.70250578,0,0,0,2.082737748,0,0,1.081188293,0,0,0,0.765043638,2.099633906,9.264234342,4.730655977,1.651447489,25.66476254,0,0,1.430247647,0,0,0,0.438942281,2.99470284,2.429297498,5.101688203,1.860187647,2.189223379,2.968666335,0.317070044,1.339839862,0.709616499,0.410906495,1.00644073,0,0,0.600997009,0,0.852420374,4.129549883,0
K12882,0,0,0,0,15.15710675,32.08688606,2.813287699,0,0,0,0,3.722145364,9.836945907,12.52028323,1.704883549,4.825828853,0,2.040167068,23.31347277,43.66197397,0,0,0,0,5.294411698,0,0,6.602665235,11.26135989,0,0,0,0,0.222130206,0,0,2.391791835,2.274233032,0,0,7.449958966,0
K12898,0,0,0,0,31.14945019,3.150995582,7.457144664,0,0,0,0,0.839080119,7.690037455,4.322947122,1.152991421,0,0,0,0,0,0,0,0,0,10.96828211,3.604194107,7.397554758,10.20102903,10.41924808,0,0,0,0,0,0,0,8.752355959,12.6318644,0,0,16.77856705,0
K13010,19.08754929,9.212238821,18.83327388,3.635180043,12.04444546,1.679580451,0,19.81276519,23.55010197,49.34312011,16.66941087,11.25644482,1.636637711,0,0,0,3.39488037,2.248799538,4.619868875,8.361447785,72.98362059,53.47585179,19.00117377,23.20273117,5.697602841,1.602716103,16.59543748,9.72875377,8.242383573,49.76280945,34.21809258,10.96193157,59.46031752,25.88162176,7.313841479,89.81053071,21.10929098,28.72146838,6.278930031,28.40085801,5.061376542,0
